tariff,description,uom,mfn,gt,aut,nzt,ccct,ldct,gpt,ust,mt,must,ciat,ct,crt,it,nt,slt,pt,colt,jt,pat,hnt,krt,ceut,uat,cptpt
0101.2,Horses:,,,,,,,,,,,,,,,,,,,,,,,,,,
0101.21.00,Pure-bred breeding animals,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,Free,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0101.21.00.00,Pure-bred breeding animals,NMB,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,Free,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0101.29.00,Other,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,Free,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0101.29.00.10,For slaughter,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
0101.29.00.20,For racing,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
0101.29.00.90,Other,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
0101.30.00,Asses,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,Free,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0101.30.00.00,Asses,NMB,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,Free,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0101.90.00,Other,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,Free,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0101.90.00.00,Other,NMB,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,Free,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
01.02,Live bovine animals.,,,,,,,,,,,,,,,,,,,,,,,,,,
0102.2,Cattle:,,,,,,,,,,,,,,,,,,,,,,,,,,
0102.21.00,Pure-bred breeding animals,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0102.21.00.10,Dairy,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
0102.21.00.90,Other,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
