|TARIFF|,|EFF_DATE|,|CHANGE|,|SUB_CHAP|,|DESC1|,|DESC2|,|DESC3|,|FOOTNOTE|,|UOM|,|MFN|,|GT|,|AUT|,|NZT|,|CCCT|,|LDCT|,|GPT|,|UST|,|MT|,|MUST|,|CIAT|,|CT|,|CRT|,|IT|,|NT|,|SLT|,|PT|,|COLT|,|JT|,|PAT|,|HNT|,|KRT|,|CEUT|,|UAT|,|CPTPT|,|row_id|
|0101.2|,1/1/2012 0:00:00,0.00,,|Horses:|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253
|0101.21.00|,9/1/2019 0:00:00,0.00,||,|Pure-bred breeding animals|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,|Free|,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,254
|0101.21.00.00|,1/1/2012 0:00:00,0.00,||,|Pure-bred breeding animals|,,,||,|NMB|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,|Free|,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,255
|0101.29.00|,9/1/2019 0:00:00,0.00,||,|Other|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,|Free|,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,256
|0101.29.00.10|,1/1/2012 0:00:00,0.00,||,|For slaughter|,,,||,|NMB|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,257
|0101.29.00.20|,1/1/2012 0:00:00,0.00,||,|For racing|,,,||,|NMB|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,258
|0101.29.00.90|,1/1/2012 0:00:00,0.00,||,|Other|,,,||,|NMB|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,259
|0101.30.00|,9/1/2019 0:00:00,0.00,||,|Asses|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,|Free|,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,260
|0101.30.00.00|,1/1/2012 0:00:00,0.00,||,|Asses|,,,||,|NMB|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,|Free|,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,261
|0101.90.00|,9/1/2019 0:00:00,0.00,||,|Other|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,|Free|,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,262
|0101.90.00.00|,1/1/2012 0:00:00,0.00,||,|Other|,,,||,|NMB|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,|Free|,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,263
|01.02|,1/1/1998 0:00:00,0.00,||,|Live bovine animals.|,,,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,264
|0102.2|,1/1/2012 0:00:00,0.00,,|Cattle:|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265
|0102.21.00|,9/1/2019 0:00:00,0.00,||,|Pure-bred breeding animals|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,266
