CHAPTER,TITLE,NOTE,SUBHEADING NOTE,SUPPLEMENTARY NOTE,STATISTICAL NOTE,SECTION
01,Live animals,"1. This Chapter covers all live animals except:

    (a) Fish and crustaceans, molluscs and other aquatic invertebrates, of heading 03.01, 03.06, 03.07 or 03.08;
    (b) Cultures of micro‑organisms and other products of heading 30.02; and
    (c) Animals of heading 95.08.",,"1. For the purpose of heading 01.01 to 01.04 inclusive, the expression ""pure‑bred breeding animals"" applies only to animals certified by the Director of the Canadian National Livestock Records or the Secretary of any other governing association incorporated under the Livestock Pedigree Act as being ""pure‑bred"", imported specially for breeding purposes. ","(NB This note does not form part of the Customs Tariff legislation.)

1. For statistical purposes, throughout the Nomenclature, the expression ""certified organic"" refers to an agricultural product that has been certified under a system that meets the standards and procedures established by the Canadian Organic Products Regulations made under the Canada Agricultural Products Act.",1
02,Meat and edible meat offal,"1.  This Chapter does not cover:

    (a) Products of the kinds described in heading 02.01 to 02.08 or 02.10, unfit or unsuitable for human consumption;
    (b) Guts, bladders or stomachs of animals (heading 05.04) or animal blood (heading 05.11 or 30.02); or
    (c) Animal fat, other than products of heading 02.09 (Chapter 15).
",,,"(NB This note does not form part of the Customs Tariff legislation.)

1. For the statistical purposes of this Chapter, the term ""processed"" covers meats which have been ground or comminuted, diced or cut into sizes for stew meat or similar uses, rolled and skewered, or specially processed into fancy cuts, special shapes, or otherwise made ready for particular uses by the retail consumer.",1
03,"Fish and crustaceans, molluscs and other aquatic invertebrates","1.  This Chapter does not cover:

    (a) Mammals of heading 01.06;
    (b) Meat of mammals of heading 01.06 (heading 02.08 or 02.10);
    (c) Fish (including livers, roes and milt thereof) or crustaceans, molluscs or other aquatic invertebrates, dead and unfit or unsuitable for human consumption by reason of either their species or their condition (Chapter 5); flours, meals or pellets of fish or of crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption (heading 23.01); or
    (d) Caviar or caviar substitutes prepared from fish eggs (heading 16.04).

2.  In this Chapter the term ''pellets'' means products which have been agglomerated either directly by compression or by the addition of a small quantity of binder.  ",,,,1
04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","1. The expression ""milk"" means full cream milk or partially or completely skimmed milk.

2. For the purposes of heading 04.05:

    (a) The term ""butter"" means natural butter, whey butter or recombined butter (fresh, salted or rancid, including canned butter) derived exclusively from milk, with a milkfat content of 80% or more but not more than 95% by weight, a maximum milk solids-not-fat content of 2% by weight and a maximum water content of 16% by weight. Butter does not contain added emulsifiers, but may contain sodium chloride, food colours, neutralising salts and cultures of harmless lactic-acid-producing bacteria.
    (b) The expression ""dairy spreads"" means a spreadable emulsion of the water-in-oil type, containing milkfat as the only fat in the product, with a milkfat content of 39% or more but less than 80% by weight.

3. Products obtained by the concentration of whey and with the addition of milk or milkfat are to be classified as cheese in heading 04.06 provided that they have the three following characteristics:

    (a) a milkfat content, by weight of the dry matter, of 5% or more;
    (b) a dry matter content, by weight, of at least 70% but not exceeding 85%; and
    (c) they are moulded or capable of being moulded.

4. This Chapter does not cover:

    (a) Products obtained from whey, containing by weight more than 95% lactose, expressed as anhydrous lactose calculated on the dry matter (heading 17.02); or
    (b) Products obtained from milk by replacing one or more of its natural constituents (for example, butyric fats) by another substance (for example, oleic fats) (heading 19.01 or 21.06); or
    (c) Albumins (including concentrates of two or more whey proteins, containing by weight more than 80% whey proteins, calculated on the dry matter) (heading 35.02) or globulins (heading 35.04).
","1. For the purposes of subheading 0404.10, the expression ""modified whey"" means products consisting of whey constituents, that is, whey from which all or part of the lactose, proteins or minerals have been removed, whey to which natural whey constituents have been added, and products obtained by mixing natural whey constituents.

2. For the purposes of subheading 0405.10 the term ""butter"" does not include dehydrated butter or ghee (subheading 0405.90).","1. The weight of the packages shall be included in the weight of the goods for the purpose of calculating the customs duties on the goods classified under the following tariff item Nos.:

    0402.10.10 or 0402.10.20
    0402.21.11 or 0402.21.12
    0402.29.11 or 0402.29.12
    0402.91.10 or 0402.91.20
    0402.99.10 or 0402.99.20
    0403.90.11 or 0403.90.12
    0404.10.21 or 0404.10.22

2. For goods classified under tariff item No. 0406.20.11, 0406.20.12, 0406.90.11 or 0406.90.12 and originating in Australia, when in packages of a weight not exceeding 1 kg each, the weight of the packages shall be included in the weight of the goods for the purpose of calculating the customs duties on the goods.

3. Milk protein substances with a milk protein content of less than 85% by weight, calculated on the dry matter, are classified in tariff item No. 0404.90.10 or 0404.90.20. Milk protein substances with a milk protein content of 85% or more by weight, calculated on the dry matter, are classified in Chapter 35 (subheading 3504.00).","(NB This note do not form part of the Customs Tariff legislation.)

1. For the statistical purposes of classification Nos. 0409.00.00.21, 0409.00.00.22, 0409.00.00.23, 0409.00.00.24, 0409.00.00.25 and 0409.00.00.26, the descriptive terms ""Extra white"", ""White"", ""Golden"", ""Light amber"", ""Dark amber"" and ""Dark"", are defined in the Honey Regulations C.R.C., c. 287 made pursuant to the Canada Agricultural Products Act (R.S., 1985, c. 20 (4th Supp.)).",1
05,"Products of animal origin, not elsewhere specified or included","1. This Chapter does not cover:

    (a) Edible products (other than guts, bladders and stomachs of animals, whole and pieces thereof, and animal blood, liquid or dried);
    (b) Hides or skins (including furskins) other than goods of heading 05.05 and parings and similar waste of raw hides or skins of heading 05.11 (Chapter 41 or 43);
    (b) Animal textile materials, other than horsehair and horsehair waste (Section XI); or
    (c) Prepared knots or tufts for broom or brush making (heading 96.03).

2. For the purpose of heading 05.01, the sorting of hair by length (provided the root ends and tip ends respectively are not arranged together) shall be deemed not to constitute working.

3. Throughout the Nomenclature, elephant, hippopotamus, walrus, narwhal and wild boar tusks, rhinoceros horns and the teeth of all animals are regarded as ""ivory"".

4. Throughout the Nomenclature, the expression ""horsehair"" means hair of the manes or tails of equine or bovine animals. Heading 05.11 covers, inter alia, horsehair and horsehair waste, whether or not put up as a layer with or without supporting material.",,,,1
06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage","1. Subject to the second part of heading 06.01, this Chapter covers only live trees and goods (including seedling vegetables) of a kind commonly supplied by nursery gardeners or florists for planting or for ornamental use; nevertheless it does not include potatoes, onions, shallots, garlic or other products of Chapter 7.

2. Any reference in heading 06.03 or 06.04 to goods of any kind shall be construed as including a reference to bouquets, floral baskets, wreaths and similar articles made wholly or partly of goods of that kind, account not being taken of accessories of other materials.  However, these headings do not include collages or similar decorative plaques of heading 97.01.",,,,2
07,Edible vegetables and certain roots and tubers,"1. This Chapter does not cover forage products of heading 12.14.

2. In headings 07.09, 07.10, 07.11 and 07.12 the word ""vegetables"" includes edible mushrooms, truffles, olives, capers, marrows, pumpkins, aubergines, sweet corn (Zea mays var. saccharata), fruits of the genus Capsicum or of the genus Pimenta, fennel, parsley, chervil, tarragon, cress and sweet marjoram (Majorana hortensis or Origanum majorana).

3. Heading 07.12 covers all dried vegetables of the kinds falling in headings 07.01 to 07.11, other than:

    (a) dried leguminous vegetables, shelled (heading 07.13);
    (b) sweet corn in the forms specified in headings 11.02 to 11.04;
    (c) flour, meal, powder, flakes, granules and pellets of potatoes (heading 11.05);
    (d) flour, meal and powder of the dried leguminous vegetables of heading 07.13 (heading 11.06).
4. However, dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta are excluded from this Chapter (heading 09.04).
",,"1. The weight of the packages must be included in the weight of the goods for the purpose of calculating the customs duties on the goods classified under heading 07.02, 07.03, 07.04, 07.05, 07.06, 07.07, 07.08 or 07.09.

    2. (a) The Minister of Public Safety and Emergency Preparedness and/or the President of the Canada Border Services Agency may suspend a tariff item referred to in Supplementary Note 2 (c) and bring into force one or more tariff items referred to in Supplementary Note 2 (b) in respect of goods imported through a customs office in a region or part of Canada specified in the order during that period.
    (b) Tariff items that may be brought into force: 0702.00.21, 0702.00.91, 0703.10.31, 0703.10.41, 0703.10.91, 0704.10.11 or 0704.10.12, 0704.20.11 or 0704.20.12, 0704.90.21, 0704.90.31, 0704.90.41, 0705.11.11 or 0705.11.12, 0705.19.11 or 0705.19.12, 0706.10.11 or 0706.10.12, 0706.10.31 or 0706.10.32, 0706.90.21 or 0706.90.22, 0706.90.51, 0707.00.91, 0708.10.91, 0708.20.21 or 0708.20.22, 0709.20.91, 0709.40.11 or 0709.40.12, 0709.60.10, 0709.99.11, 0709.99.21, 0709.99.31 or 0709.99.32.
    (c) Tariff items that may be suspended: 0702.00.29, 0702.00.99, 0703.10.39, 0703.10.49, 0703.10.99, 0704.10.90, 0704.20.90, 0704.90.29, 0704.90.39, 0704.90.49, 0705.11.90, 0705.19.90, 0706.10.20, 0706.10.40, 0706.90.30, 0706.90.59, 0707.00.99, 0708.10.99, 0708.20.30, 0709.20.99, 0709.40.90, 0709.60.90, 0709.99.19, 0709.99.29 or 0709.99.40.
    (d) Under this Act, an order referred to in Supplementary Note 2 (a) might not apply to goods that were in transit at the time the order was made.",,2
08,Edible fruit and nuts; peel of citrus fruit or melons,"1. This Chapter does not cover inedible nuts or fruits.

2.Chilled fruits and nuts are to be classified in the same headings as the corresponding fresh fruits and nuts.

3.Dried fruit or dried nuts of this Chapter may be partially rehydrated, or treated for the following purposes:

(a) For additional preservation or stabilization (for example, by moderate heat treatment, sulphuring, the addition of sorbic acid or potassium sorbate),

(b) To improve or maintain their appearance (for example, by the addition of vegetable oil or small quantities of glucose syrup), provided that they retain the character of dried fruit or dried nuts.
",,"1.The weight of the packages must be included in the weight of the goods for the purpose of calculating the customs duties on the goods classified under heading 08.06, 08.08, 08.09 or 08.10.

2.For goods classified under tariff item No. 0811.10.10 or 0811.10.90, customs duties must be assessed on the basis of net weight.

3.  (a) The Minister of Public Safety and Emergency Preparedness or the President of the Canada Border Services Agency may suspend a tariff item referred to in Supplementary Note 4 (c) and bring into force one or more tariff items referred to in Supplementary Note 3 (b) in respect of goods imported through a customs office in a region or part of Canada specified in the order during that period.

    (b) Tariff items that may be brought into force: 0806.10.11, 0808.30.91, 0809.10.91, 0809.21.11, 0809.29.21, 0809.30.21, 0809.40.21, 0809.40.31 or 0810.10.91.

    (c) Tariff items that may be suspended: 0806.10.19, 0808.30.99, 0809.10.99, 0809.21.19, 0809.29.29, 0809.30.29, 0809.40.29, 0809.40.39 or 0810.10.99.

    (d) Under this Act, an order referred to in Supplementary Note 3 (a) might not apply to goods that were in transit at the time the order was made.",,2
09,"Coffee, tea, maté and spices","1. Mixtures of the products of headings 09.04 to 09.10 are to be classified as follows:

    (a) Mixtures of two or more of the products of the same heading are to be classified in that heading;
    (b) Mixtures of two or more of the products of different headings are to be classified in heading 09.10.
The addition of other substances to the products of headings 09.04 to 09.10 (or to the mixtures referred to in paragraph (a) or (b) above) shall not affect their classification provided the resulting mixtures retain the essential character of the goods of those headings. Otherwise such mixtures are not classified in this Chapter; those constituting mixed condiments or mixed seasonings are classified in heading 21.03.

2. This Chapter does not cover Cubeb pepper (Piper cubeba) or other products of heading 12.11.",,,,2
10,Cereals,"1. (A) The products specified in the headings of this Chapter are to be classified in those headings only if grains are present, whether or not in the ear or on the stalk.

(B) This Chapter does not cover grains which have been hulled or otherwise worked. However, rice, husked, milled, polished, glazed, parboiled or broken remains classified in heading 10.06.

2. Heading 10.05 does not cover sweet corn (Chapter 7).
","1. The term ""durum wheat"" means wheat of the Triticum durum species and the hybrids derived from the inter-specific crossing of Triticum durum which have the same number (28) of chromosomes as that species.",,,2
