Section,Number,Title,Note,Subheading Note,Supplementary Note,Statistical Note
1,I,Live Animals; Animal Products,"1. Any reference in this Section to a particular genus or species of an animal, except where the context otherwise requires, includes a reference to the young of that genus or species.
2. Except where the context otherwise requires, throughout the Nomenclature any reference to ""dried"" products also covers products which have been dehydrated, evaporated or freeze-dried.",,,"1. For statistical purposes, throughout the Nomenclature, the expression ""certified organic"" refers to an agricultural product that has been certified under a system that meets the standards and procedures established by the Canadian Organic Products Regulations made under the Canada Agricultural Products Act."
2,II,Vegetable Products,"1. In this Section the term ""pellets"" means products which have been agglomerated either directly by compression or by the addition of a binder in a proportion not exceeding 3% by weight.",,,"1. For the statistical purposes of this Chapter, the term ""processed"" covers meats which have been ground or comminuted, diced or cut into sizes for stew meat or similar uses, rolled and skewered, or specially processed into fancy cuts, special shapes, or otherwise made ready for particular uses by the retail consumer."
3,III,Animal or Vegetable Fats and Oils and their Cleavage Products; Prepared Edible Fats; Animal or Vegetable Waxes,,,,
4,IV,"Prepared Foodstuffs; Beverages, Spirits and Vinegar; Tobacco and Manufactured Tobacco Substitutes
Section V: Mineral Products","1. In this Section the term ""pellets"" means products which have been agglomerated either directly by compression or by the addition of a binder in a proportion not exceeding 3% by weight.",,,
5,V,Mineral Products,,,,
6,VI,Products of the Chemical or Allied Industries,"1. (A) Goods (other than radioactive ores) answering to a description in heading 28.44 or 28.45 are to be classified in those headings and in no other heading of the Nomenclature.
(B) Subject to paragraph (A) above, goods answering to a description in heading 28.43, 28.46 or 28.52 are to be classified in those headings and in no other heading of this Section.
2. Subject to Note 1 above, goods classifiable in heading 30.04, 30.05, 30.06, 32.12, 33.03, 33.04, 33.05, 33.06, 33.07, 35.06, 37.07 or 38.08 by reason of being put up in measured doses or for retail sale are to be classified in those headings and in no other heading of the Nomenclature.
3. Goods put up in sets consisting of two or more separate constituents, some or all of which fall in this Section and are intended to be mixed together to obtain a product of Section VI or VII, are to be classified in the heading appropriate to that product, provided that the constituents are:
(a) having regard to the manner in which they are put up, clearly identifiable as being intended to be used together without first being repacked;
(b) presented together; and
(c) identifiable, whether by their nature or by the relative proportions in which they are present, as being complementary one to another.",,,"1. For the statistical purposes of classification Nos. 0409.00.00.21, 0409.00.00.22, 0409.00.00.23, 0409.00.00.24, 0409.00.00.25 and 0409.00.00.26, the descriptive terms ""Extra white"", ""White"", ""Golden"", ""Light amber"", ""Dark amber"" and ""Dark"", are defined in the Honey Regulations C.R.C., c. 287 made pursuant to the Canada Agricultural Products Act (R.S., 1985, c. 20 (4th Supp.))."
7,VII,Plastics and Articles Thereof; Rubber and Articles Thereof,"1. Goods put up in sets consisting of two or more separate constituents, some or all of which fall in this Section and are intended to be mixed together to obtain a product of Section VI or VII, are to be classified in the heading appropriate to that product, provided that the constituents are:
(a) having regard to the manner in which they are put up, clearly identifiable as being intended to be used together without first being repacked;
(b) presented together; and
(c) identifiable, whether by their nature or by the relative proportions in which they are present, as being complementary one to another.
2. Except for the goods of heading 39.18 or 39.19, plastics, rubber, and articles thereof, printed with motifs, characters or pictorial representations, which are not merely incidental to the primary use of the goods, fall in Chapter 49.",,,
8,VIII,"Raw Hides and Skins, Leather, Furskins and Articles Thereof; Saddlery and Harness; Travel Goods, Handbags and Similar Containers; Articles of Animal Gut (Other than Silk-worm Gut)",,,,
9,IX,"Wood and Articles of Wood; Wood Charcoal; Cork and Articles of Cork; Manufactures of Straw, of Esparto or of Other Plaiting Materials; Basketware and Wickerwork",,,,
10,X,Pulp of Wood or of Other Fibrous Cellulosic Material; Recovered (Waste and Scrap) Paper or Paperboard; Paper and Paperboard and Articles Thereof,,,,
